component,label,raw_score,baseline_iq,pool_n,below,equal,above,full_pool_percentile,full_pool_percentile_iq,group_size,effective_group_size,sampling,simulated_draws,exact_mean,exact_sd,exact_p025,exact_p975,exact_prob_more_than_5_points,exact_prob_more_than_10_points,empirical_mean,empirical_sd,empirical_p025,empirical_p975,empirical_prob_more_than_5_points,empirical_prob_more_than_10_points,maximum_empirical_cdf_error
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,45,45,with_replacement,1000000,101.00824518390826,2.706302685396343,96,107,0.043562484365318,0.00015928460225884386,101.009723,2.705864457668011,96,107,0.043839,0.00015000000000000001,0.0008070039797787865
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,45,45,without_replacement,1000000,100.97684961825405,2.0461116587517822,97,105,0.007884944993640546,8.513104449080396e-07,100.97590100000001,2.044673626327439,97,105,0.007884,1e-06,0.0003186502535400537
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,50,50,with_replacement,1000000,101.02918109442524,2.5170354748958155,96,106,0.032075943293110656,7.148198263193547e-05,101.032333,2.5189905869437066,96,106,0.032431,7.699999999999999e-05,0.000981333723085176
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,50,50,without_replacement,1000000,101.01404573548312,1.815942928284616,98,104,0.0032551096657333026,6.809228968783119e-08,101.01212699999999,1.8157874148344018,98,104,0.003195,0.0,0.0007328114507578198
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,55,55,with_replacement,1000000,101.01120679065565,2.414093780863067,96,106,0.023738221372722197,3.224217751146787e-05,101.013315,2.413811034603786,96,106,0.023707,3.6e-05,0.0006702086458836298
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,55,55,without_replacement,1000000,100.97426167616568,1.672208642992379,98,104,0.001157423307409059,3.2909636887673322e-09,100.97537899999999,1.672966468988246,98,104,0.0011680000000000002,0.0,0.0005441695059468232
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,60,60,with_replacement,1000000,100.98651504573799,2.2699307705835006,96,105,0.01764571362498171,1.460757123791105e-05,100.98663400000001,2.2693050367995924,96,105,0.017307000000000003,1.9999999999999998e-05,0.0002874651429020103
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,60,60,without_replacement,1000000,100.97865651100429,1.4609071317412585,98,104,0.00033746674702441826,7.49288999490346e-11,100.979272,1.4591813972279115,98,104,0.00032,0.0,0.0005669072603236638
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,75,75,with_replacement,1000000,100.98991897053853,2.0864104905883467,97,105,0.008478173215110534,1.2340470763466659e-06,100.986356,2.0860253692762223,97,105,0.00845,0.0,0.0009288701856150494
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,75,75,without_replacement,1000000,100.95434185518707,1.1273160537720244,99,103,8.410674186592474e-07,0.0,100.952567,1.1274711129385975,99,103,1e-06,0.0,0.0006785226642798126
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,100,100,with_replacement,1000000,100.98571053172239,1.7719087111654839,98,104,0.0023358831861071683,2.6692142245018167e-08,100.985863,1.7699669898704327,98,104,0.002307,0.0,0.0005686935389229708
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,100,100,without_replacement,1000000,101.00462778594087,0.3700540382833836,100,102,0.0,0.0,101.00411599999998,0.36947132303333097,100,102,0.0,0.0,0.0004735967967114396
